"","yr","mo","bay_segment","mean_sdm","sum_sdm"
"147",1977,6,"HB",0.655555555555556,NA
"148",1977,6,"LTB",3.65714285714286,NA
"149",1977,6,"OTB",1.65,NA
"150",1977,7,"HB",0.55,NA
"151",1977,7,"LTB",3.22857142857143,NA
"152",1977,7,"OTB",1.51666666666667,NA
"153",1977,8,"HB",0.63,NA
"154",1977,8,"LTB",4.07142857142857,NA
"155",1977,8,"OTB",0.757142857142857,NA
"156",1977,9,"HB",0.77,NA
"157",1977,9,"LTB",1.6,NA
"158",1977,9,"OTB",0.820689655172414,NA
"159",1977,10,"HB",0.59,NA
"160",1977,10,"LTB",1.375,NA
"161",1977,10,"OTB",1.06923076923077,NA
"162",1977,11,"HB",0.7625,NA
"163",1977,11,"LTB",1.3875,NA
"164",1977,11,"OTB",1.30909090909091,NA
"165",1977,12,"HB",0.814285714285714,NA
"166",1977,12,"LTB",1.78571428571429,NA
"167",1978,1,"HB",1.025,NA
"168",1978,1,"LTB",2.05,NA
"169",1978,1,"OTB",2.76666666666667,NA
"170",1978,2,"HB",0.57,NA
"171",1978,2,"LTB",2.37142857142857,NA
"172",1978,2,"OTB",2.3875,NA
"173",1978,3,"HB",0.477777777777778,NA
"174",1978,3,"LTB",1.8375,NA
"175",1978,3,"OTB",1.70909090909091,NA
"176",1978,4,"HB",0.6875,NA
"177",1978,4,"LTB",2.625,NA
"178",1978,4,"OTB",0.646666666666667,NA
"179",1978,5,"HB",0.51,NA
"180",1978,5,"LTB",1.85,NA
"181",1978,5,"OTB",0.88,NA
"182",1978,6,"HB",0.7,NA
"183",1978,6,"LTB",2.1,NA
"184",1978,6,"OTB",0.966666666666667,NA
"185",1978,7,"HB",0.588888888888889,NA
"186",1978,7,"LTB",1.725,NA
"187",1978,7,"OTB",0.94,NA
"188",1978,8,"HB",0.59,NA
"189",1978,8,"LTB",1.6875,NA
"190",1978,8,"OTB",0.906666666666667,NA
"191",1978,9,"HB",0.55,NA
"192",1978,9,"LTB",1.65,NA
"193",1978,9,"OTB",0.706666666666667,NA
"194",1978,10,"OTB",1.13333333333333,NA
"195",1978,11,"HB",0.766666666666667,NA
"196",1978,11,"LTB",1.1375,NA
"197",1978,11,"OTB",0.986666666666667,NA
"198",1978,12,"HB",0.766666666666667,NA
"199",1978,12,"LTB",0.9625,NA
"200",1979,1,"HB",0.66,NA
"201",1979,1,"LTB",2.28333333333333,NA
"202",1979,1,"OTB",1.13571428571429,NA
"203",1979,2,"HB",0.985714285714286,NA
"204",1979,2,"LTB",1.91428571428571,NA
"205",1979,2,"OTB",1.17931034482759,NA
"206",1979,3,"HB",0.82,NA
"207",1979,3,"LTB",2.35,NA
"208",1979,3,"OTB",0.986666666666667,NA
"209",1979,4,"HB",0.52,NA
"210",1979,4,"LTB",1.5125,NA
"211",1979,4,"OTB",0.68,NA
"212",1979,5,"HB",0.657894736842105,NA
"213",1979,5,"LTB",1.3625,NA
"214",1979,5,"OTB",0.813333333333333,NA
"215",1979,6,"HB",0.7,NA
"216",1979,6,"LTB",2.2,NA
"217",1979,6,"OTB",1.28666666666667,NA
"218",1979,7,"HB",0.44,NA
"219",1979,7,"LTB",2.1375,NA
"220",1979,7,"OTB",0.586666666666667,NA
"221",1979,8,"HB",0.49,NA
"222",1979,8,"LTB",1.74375,NA
"223",1979,8,"OTB",0.886666666666667,NA
"224",1979,9,"HB",0.54,NA
"225",1979,9,"LTB",0.85,NA
"226",1979,9,"OTB",0.513333333333333,NA
"227",1979,10,"HB",0.877777777777778,NA
"228",1979,10,"LTB",0.975,NA
"229",1979,10,"OTB",0.62,NA
"230",1979,11,"HB",0.52,NA
"231",1979,11,"LTB",1.875,NA
"232",1979,11,"OTB",0.626666666666667,NA
"233",1980,1,"HB",1.02857142857143,NA
"234",1980,1,"LTB",1.4375,NA
"235",1980,1,"OTB",1.05714285714286,NA
"236",1980,2,"HB",1.17142857142857,NA
"237",1980,2,"LTB",1.35,NA
"238",1980,2,"OTB",0.9,NA
"239",1980,3,"HB",1.31111111111111,NA
"240",1980,3,"LTB",1.98571428571429,NA
"241",1980,3,"OTB",1.13571428571429,NA
