"","bay_segment","yr","mean_sdm","mean_la"
"1","HB",1972,1.13392496392496,1.41984703681552
"2","HB",1974,1.048831738437,1.53504126638966
"3","HB",1975,0.843749715197084,1.9081487922327
"4","HB",1976,0.868650793650794,1.85344906349931
"5","HB",1977,0.643945105820106,2.50021311669038
"6","HB",1978,0.6575,2.44866920152091
"7","HB",1979,0.655580618212197,2.45583831381494
"8","HB",1980,0.88433660130719,1.8205737471684
"9","HB",1981,0.819484126984127,1.9646506222459
"10","HB",1982,0.893337301587302,1.80223080032516
"11","HB",1983,1.07068542568543,1.50370964372595
"12","HB",1984,1.11774269005848,1.44040306800465
"13","HB",1985,0.925925925925926,1.7388
"14","HB",1986,1.19492424242424,1.34736575160084
"15","HB",1987,1.26715277777778,1.27056502438757
"16","HB",1988,1.28200396825397,1.25584634671041
"17","HB",1989,1.19205026455026,1.3506141879071
"18","HB",1990,1.27310846560847,1.26462123494758
"19","HB",1991,1.18871693121693,1.35440150444546
"20","HB",1992,1.36978505291005,1.17536689174672
"21","HB",1993,1.43882605820106,1.11896777989478
"22","HB",1994,1.5146164021164,1.0629754159207
"23","HB",1995,1.13131944444444,1.42311705849856
"24","HB",1996,1.27787037037037,1.25990870226795
"25","HB",1997,1.17608796296296,1.3689452240833
"26","HB",1998,1.00898148148148,1.59566853262366
"27","HB",1999,1.44712962962963,1.11254718791989
"28","HB",2000,1.35055886243386,1.19209909673881
"29","HB",2001,1.16700462962963,1.37960035386575
"30","HB",2002,1.3644708994709,1.17994454892685
"31","HB",2003,1.16733796296296,1.37920640901069
"32","HB",2004,1.35353174603175,1.18948078219825
"33","HB",2005,1.41396164021164,1.13864475118223
"34","HB",2006,1.93423611111111,0.832369942196532
"35","HB",2007,1.61578042328042,0.996422519299567
"36","HB",2008,1.42524801587302,1.12962795392058
"37","HB",2009,1.46650793650794,1.09784608723888
"38","HB",2010,1.55534060846561,1.03514303634643
"39","HB",2011,1.60219246031746,1.00487303484189
"40","HB",2012,1.6622123015873,0.968588668524807
"41","HB",2013,1.63364718614719,0.985524912387628
"42","HB",2014,1.99468253968254,0.80714598336848
"43","HB",2015,1.78338624338624,0.902776953658102
"44","HB",2016,1.76377314814815,0.912815801561782
"45","HB",2017,1.57096560846561,1.0248473876984
"46","HB",2018,1.48111111111111,1.08702175543886
"47","HB",2019,1.66063492063492,0.96950869814567
"48","LTB",1972,3.00550595238095,0.612209734118929
"49","LTB",1974,3.06808441558442,0.599722742520927
"50","LTB",1975,3.39474025974026,0.542014958205015
"51","LTB",1976,2.56910714285714,0.716202126920136
"52","LTB",1977,2.18377976190476,0.842575809199319
"53","LTB",1978,1.81785714285714,1.01218074656189
"54","LTB",1979,1.74580627705628,1.05395428128632
"55","LTB",1980,1.94151785714286,0.947712117728213
"56","LTB",1981,2.24711038961039,0.818829376833162
"57","LTB",1982,2.44190476190476,0.753510140405616
"58","LTB",1983,2.28690892440892,0.80457948296982
"59","LTB",1984,2.45665584415584,0.748985660477103
"60","LTB",1985,2.78511904761905,0.660653985894422
"61","LTB",1986,3.18191468253968,0.578268176106904
"62","LTB",1987,3.31494047619048,0.555062756998438
"63","LTB",1988,3.07987103174603,0.59742761337538
"64","LTB",1989,2.68581349206349,0.685081077087874
"65","LTB",1990,2.86986111111111,0.641146009775928
"66","LTB",1991,2.72172619047619,0.676041552761072
"67","LTB",1992,2.78144841269841,0.661525840853158
"68","LTB",1993,2.56872619047619,0.716308342563713
"69","LTB",1994,2.58487103174603,0.711834353591372
"70","LTB",1995,2.25625,0.815512465373961
"71","LTB",1996,2.98328373015873,0.616770031425104
"72","LTB",1997,2.87587301587302,0.639805718070427
"73","LTB",1998,2.06354166666667,0.891670873296315
"74","LTB",1999,2.60744047619048,0.705672868394019
"75","LTB",2000,2.10431547619048,0.874393607241355
"76","LTB",2001,2.49583333333333,0.737228714524207
"77","LTB",2002,3.02806547619048,0.60764868344751
"78","LTB",2003,3.15218253968254,0.583722540441871
"79","LTB",2004,2.77386904761905,0.663333404862557
"80","LTB",2005,3.03429563492063,0.606401030546955
"81","LTB",2006,3.94313492063492,0.466633791902744
"82","LTB",2007,3.44545454545455,0.534036939313984
"83","LTB",2008,2.78753968253968,0.66008028926914
"84","LTB",2009,3.33545634920635,0.551648652346422
"85","LTB",2010,2.79885912698413,0.657410722197607
"86","LTB",2011,3.77541666666667,0.487363425670456
"87","LTB",2012,3.08622023809524,0.596198539977049
"88","LTB",2013,4.0968253968254,0.449128244866331
"89","LTB",2014,3.96669642857143,0.46386206586085
"90","LTB",2015,2.98844246031746,0.615705346324298
"91","LTB",2016,3.46906746031746,0.530401908019286
"92","LTB",2017,3.6722123015873,0.501060355144681
"93","LTB",2018,3.10545634920635,0.592505510653931
"94","LTB",2019,3.07896825396825,0.5976027838639
"95","OTB",1972,1.55097252747253,0.960687551589396
"96","OTB",1974,1.74767102897103,0.85256319713514
"97","OTB",1975,1.52336913086913,0.978095177201016
"98","OTB",1976,1.26708028083028,1.17593180364519
"99","OTB",1977,1.25252018096846,1.18960159096832
"100","OTB",1978,1.2754476584022,1.16821728448392
"101","OTB",1979,0.846820420958352,1.75952299108914
"102","OTB",1980,1.07688001653519,1.38362675239718
"103","OTB",1981,1.42324617910825,1.04690251192775
"104","OTB",1982,1.40780392872347,1.05838602208694
"105","OTB",1983,1.336001998002,1.11526779318317
"106","OTB",1984,1.28254761904762,1.16175023669408
"107","OTB",1985,1.56267948717949,0.953490470838222
"108","OTB",1986,1.66866147186147,0.892931265643614
"109","OTB",1987,1.74550782550783,0.853619776563597
"110","OTB",1988,1.74093915343915,0.855859894388937
"111","OTB",1989,1.58939255189255,0.937465070051951
"112","OTB",1990,1.78374125874126,0.835322944232089
"113","OTB",1991,1.85512854700159,0.803178843001614
"114","OTB",1992,1.82447587135087,0.816672899541708
"115","OTB",1993,1.63131317756318,0.913374587107628
"116","OTB",1994,1.99158348595849,0.748148400760067
"117","OTB",1995,1.58854756354756,0.93796373126689
"118","OTB",1996,1.61909007659008,0.920269984692915
"119","OTB",1997,1.75835275835276,0.84738400353513
"120","OTB",1998,1.40397435897436,1.06127294311022
"121","OTB",1999,1.69286338661339,0.880165530061336
"122","OTB",2000,2.03325100825101,0.732816555336023
"123","OTB",2001,1.56632478632479,0.951271417657972
