Lab_ID_Number
StationID
StationNumber
StoretStation
Class
WBID
HUC
PKBasin
PrimaryStationType
Latitude
Longitude
YearMonth
SampleTime
AreaName
ProgramID
ProgramName
RunName
Total_Depth_m
Sample_Depth_m
Air_Temp_degC
Secchi_Depth_m
Secchi_Q
Notes
SampleCollector
Depth_Top_m_HLabRecorded
Depth_Top_Q
Depth_Mid_m_HlabRecorded
Depth_Mid_Q
Depth_Bottom_m_HLabRecorded
Depth_Bottom_Q
Temp_Water_Top_degC
Temp_Water_Top_Q
Temp_Water_Mid_degC
Temp_Water_Mid_Q
Temp_Water_Bottom_degC
Temp_Water_Bottom_Q
DO_Top_mgL
DO_Top_Q
DO_Mid_mgL
DO_Mid_Q
DO_Bottom_mgL
DO_Bottom_Q
DO_Sat_Top_pct
DO_Sat_Top_Q
DO_Sat_Mid_pct
DO_Sat_Mid_Q
DO_Sat_Bottom_pct
DO_Sat_Bottom_Q
Cond_Top_umhocm
Cond_Top_Q
Cond_Mid_umhocm
Cond_Mid_Q
Cond_Bottom_umhocm
Cond_Bottom_Q
pH_Top
pH_Top_Q
pH_Mid
pH_Mid_Q
pH_Bottom
pH_Bottom_Q
Sal_Top_ppth
Sal_Top_Q
Sal_Mid_ppth
Sal_Mid_Q
Sal_Bottom_ppth
Sal_Bottom_Q
E_Coliform_num100ml
E_Coliform_Q
Enterococci_num100ml
Enterococci_Q
Fecal_Coliform_num100ml
Fecal_Coliform_Q
Fecal_Strep_num100ml
Fecal_Strep_Q
Total_Coliform_num100ml
Total_Coliform_Q
Ammonia_mgL
Ammonia_Q
Kjeldahl_Nitrogen_mgL
Kjeldahl_Nitrogen_Q
Nitrates_mgL
Nitrates_Q
Nitrates-Nitrites_mgL
Nitrates-Nitrites_Q
Organic_Nitrogen_mgL
Organic_Nitrogen_Q
Ortho_Phosphates_mgL
Ortho_Phosphates_Q
Silica_mgL
Silica_Q
Total_Nitrogen_mgL
Total_Nitrogen_Q
Total_Phosphorus_mgL
Total_Phosphorus_Q
BOD_mgL
BOD_Q
Chloride_mgL
Chloride_Q
Chlorophyll_a_uncorr_ugL
Chlorophyll_a_uncorr_Q
Chlorophyll_b_ugL
Chlorophyll_b_Q
Chlorophyll_c_ugL
Chlorophyll_c_Q
Chlorophyll_Total_ugL
Chlorophyll_Total_Q
Chlorophyll_a_Corr_ugL
Chlorophyll_a_Corr_Q
Chlorophyll_pheo_ugL
Chlorophyll_pheo_Q
Color_345c_PCU
Color_345c_Q
Color_440_PCU
Color_440_Q
Color_750_PCU
Color_750_Q
Conductivity_umhos
Conductivity_Q
Fluoride_mgL
Fluoride_Q
Sulfates_modified_mgL
Sulfates_modified_Q
Total_Dissolved_Solids_mgL
Total_Dissolved_Solids_Q
Total_Solids_mgL
Total_Solids_Q
Total_Suspended_Solids_mgL
Total_Suspended_Solids_Q
Turbidity_JTU_NTU
Turbidity_Q
Color_440_F22_PCU
Color_440_F22_Q
Color_345_F45_PCU
Color_345_F45_Q
Arsenic_ugL
Arsenic_Q
Cadmium_ugL
Cadmium_Q
Calcium_mgL
Calcium_Q
Chromium_ugL
Chromium_Q
Copper_ugL
Copper_Q
Iron_ugL
Iron_Q
Lead_ugL
Lead_Q
Magnesium_mgL
Magnesium_Q
Manganese_ugL
Manganese_Q
Nickel_ugL
Nickel_Q
Potassium_mgL
Potassium_Q
Sodium_mgL
Sodium_Q
Zinc_ugL
Zinc_Q
TOC_mgL
TOC_Q
